,Comments,Tokens,Filtered Tokens,Stemmed Filtered Tokens,Lemmatized Filtered Tokens,Afinn Score of Lem,Afinn Overall Score of Lem,Afinn Sentiment,Bing Positive Tokens,Bing Positive count,Bing Negative Tokens,Bing Negative count,Bing Score,Bing Sentiment,Unknown Tokens
10,"hi stashfin, please get your customer details sorted out. i had never even heard from you guys ever but your mailbox is sending me mails to repay the loan on my official mail which was provided to me last friday(29th may). please connect with me and sort this issue out. i have tried the customer care number but it does not give any options to talk to you guys. also, i am not your customer.i havent any loans from you, if you guys dont stop harassing i will have take legal remedies.","['hi', 'stashfin', 'please', 'get', 'your', 'customer', 'details', 'sorted', 'out', 'i', 'had', 'never', 'even', 'heard', 'from', 'you', 'guys', 'ever', 'but', 'your', 'mailbox', 'is', 'sending', 'me', 'mails', 'to', 'repay', 'the', 'loan', 'on', 'my', 'official', 'mail', 'which', 'was', 'provided', 'to', 'me', 'last', 'friday', '29th', 'may', 'please', 'connect', 'with', 'me', 'and', 'sort', 'this', 'issue', 'out', 'i', 'have', 'tried', 'the', 'customer', 'care', 'number', 'but', 'it', 'does', 'not', 'give', 'any', 'options', 'to', 'talk', 'to', 'you', 'guys', 'also', 'i', 'am', 'not', 'your', 'customer', 'i', 'havent', 'any', 'loans', 'from', 'you', 'if', 'you', 'guys', 'dont', 'stop', 'harassing', 'i', 'will', 'have', 'take', 'legal', 'remedies']","['customer', 'details', 'sorted', 'heard', 'guys', 'mailbox', 'sending', 'mails', 'repay', 'official', 'mail', 'friday', '29th', 'connect', 'sort', 'issue', 'customer', 'care', 'options', 'talk', 'guys', 'customer', 'loans', 'guys', 'harassing', 'legal', 'remedies']","['custom', 'detail', 'sort', 'heard', 'guy', 'mailbox', 'send', 'mail', 'repay', 'offici', 'mail', 'friday', '29th', 'connect', 'sort', 'issu', 'custom', 'care', 'option', 'talk', 'guy', 'custom', 'loan', 'guy', 'harass', 'legal', 'remedi']","['customer', 'detail', 'sort', 'hear', 'guy', 'mailbox', 'send', 'mail', 'repay', 'official', 'mail', 'friday', '29th', 'connect', 'sort', 'issue', 'customer', 'care', 'options', 'talk', 'guy', 'customer', 'loan', 'guy', 'harass', 'legal', 'remedy']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -3.0, 1.0, 0.0]",[0.0],neutral,['remedy'],1,"['issue', 'harass']",2,-1,negative,"['customer', 'detail', 'sort', 'hear', 'guy', 'mailbox', 'send', 'mail', 'repay', 'official', 'mail', 'friday', '29th', 'connect', 'sort', 'customer', 'care', 'options', 'talk', 'guy', 'customer', 'loan', 'guy', 'legal']"
11,"all the companies including yours will charge high rate of intrests and when a customer has paid on time, however they will just show that you are eligible for more after paying on time and waiting for one month they say that you are not eligible will let atleast 10people know that your app is misleading and do not use your service no thanks for your help","['all', 'the', 'companies', 'including', 'yours', 'will', 'charge', 'high', 'rate', 'of', 'intrests', 'and', 'when', 'a', 'customer', 'has', 'paid', 'on', 'time', 'however', 'they', 'will', 'just', 'show', 'that', 'you', 'are', 'eligible', 'for', 'more', 'after', 'paying', 'on', 'time', 'and', 'waiting', 'for', 'one', 'month', 'they', 'say', 'that', 'you', 'are', 'not', 'eligible', 'will', 'let', 'atleast', '10people', 'know', 'that', 'your', 'app', 'is', 'misleading', 'and', 'do', 'not', 'use', 'your', 'service', 'no', 'thanks', 'for', 'your', 'help']","['companies', 'including', 'charge', 'rate', 'intrests', 'customer', 'paid', 'eligible', 'paying', 'waiting', 'month', 'eligible', '10people', 'misleading', 'service', 'help']","['compani', 'includ', 'charg', 'rate', 'intrest', 'custom', 'paid', 'elig', 'pay', 'wait', 'month', 'elig', '10peopl', 'mislead', 'servic', 'help']","['company', 'include', 'charge', 'rate', 'intrests', 'customer', 'pay', 'eligible', 'pay', 'wait', 'month', 'eligible', '10people', 'mislead', 'service', 'help']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.0, 0.0, -1.0, 0.0, 0.0, 0.0, 0.0, -3.0, 0.0, 2.0]",[-3.0],negative,[],0,['mislead'],1,-1,negative,"['company', 'include', 'charge', 'rate', 'intrests', 'customer', 'pay', 'eligible', 'pay', 'wait', 'month', 'eligible', '10people', 'service', 'help']"
12,"stupid application,,, every time i am getting a loan amount,, but i am not able to apply the same,,, once click after that saying i not eligible for a loan,, since from one year i seeing to get a loan,,, they only do marketing can't provide a loan,,,, don't trust this stupid application...","['stupid', 'application', 'every', 'time', 'i', 'am', 'getting', 'a', 'loan', 'amount', 'but', 'i', 'am', 'not', 'able', 'to', 'apply', 'the', 'same', 'once', 'click', 'after', 'that', 'saying', 'i', 'not', 'eligible', 'for', 'a', 'loan', 'since', 'from', 'one', 'year', 'i', 'seeing', 'to', 'get', 'a', 'loan', 'they', 'only', 'do', 'marketing', 'can', 't', 'provide', 'a', 'loan', 'don', 't', 'trust', 'this', 'stupid', 'application']","['stupid', 'application', 'amount', 'apply', 'eligible', 'marketing', 'provide', 'trust', 'stupid', 'application']","['stupid', 'applic', 'amount', 'appli', 'elig', 'market', 'provid', 'trust', 'stupid', 'applic']","['stupid', 'application', 'amount', 'apply', 'eligible', 'market', 'provide', 'trust', 'stupid', 'application']","[-2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, -2.0, 0.0]",[-3.0],negative,['trust'],1,"['stupid', 'stupid']",2,-1,negative,"['application', 'amount', 'apply', 'eligible', 'market', 'provide', 'application']"
13,very worst app taking high processing fee but processing was very poor very very very worst app please dont install it again 2nd time also i experienced same proble. if you cant provide loan dont waste people time i am not happy with this app dont try to install and dont dissapoint,"['very', 'worst', 'app', 'taking', 'high', 'processing', 'fee', 'but', 'processing', 'was', 'very', 'poor', 'very', 'very', 'very', 'worst', 'app', 'please', 'dont', 'install', 'it', 'again', '2nd', 'time', 'also', 'i', 'experienced', 'same', 'proble', 'if', 'you', 'cant', 'provide', 'loan', 'dont', 'waste', 'people', 'time', 'i', 'am', 'not', 'happy', 'with', 'this', 'app', 'dont', 'try', 'to', 'install', 'and', 'dont', 'dissapoint']","['processing', 'fee', 'processing', 'install', '2nd', 'experienced', 'proble', 'provide', 'people', 'install', 'dissapoint']","['process', 'fee', 'process', 'instal', '2nd', 'experienc', 'probl', 'provid', 'peopl', 'instal', 'dissapoint']","['process', 'fee', 'process', 'install', '2nd', 'experience', 'proble', 'provide', 'people', 'install', 'dissapoint']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[0.0],neutral,[],0,[],0,0,neutral,"['process', 'fee', 'process', 'install', '2nd', 'experience', 'proble', 'provide', 'people', 'install', 'dissapoint']"
14,worst app ever . i have applied for loan and got approved but they did not transferred the loan amount . now i need to repay the amount . this is a fraud application please do not install and apply for loan. worst app for instant loan.,"['worst', 'app', 'ever', 'i', 'have', 'applied', 'for', 'loan', 'and', 'got', 'approved', 'but', 'they', 'did', 'not', 'transferred', 'the', 'loan', 'amount', 'now', 'i', 'need', 'to', 'repay', 'the', 'amount', 'this', 'is', 'a', 'fraud', 'application', 'please', 'do', 'not', 'install', 'and', 'apply', 'for', 'loan', 'worst', 'app', 'for', 'instant', 'loan']","['applied', 'approved', 'transferred', 'amount', 'repay', 'amount', 'application', 'install', 'apply']","['appli', 'approv', 'transfer', 'amount', 'repay', 'amount', 'applic', 'instal', 'appli']","['apply', 'approve', 'transfer', 'amount', 'repay', 'amount', 'application', 'install', 'apply']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[0.0],neutral,['approve'],1,[],0,1,positive,"['apply', 'transfer', 'amount', 'repay', 'amount', 'application', 'install', 'apply']"
15,worst application . i applied for loan and got approved but they did not transferred the loan amount and i need to repay them . fraud application and please stop this type of fraud . worst application ever,"['worst', 'application', 'i', 'applied', 'for', 'loan', 'and', 'got', 'approved', 'but', 'they', 'did', 'not', 'transferred', 'the', 'loan', 'amount', 'and', 'i', 'need', 'to', 'repay', 'them', 'fraud', 'application', 'and', 'please', 'stop', 'this', 'type', 'of', 'fraud', 'worst', 'application', 'ever']","['application', 'applied', 'approved', 'transferred', 'amount', 'repay', 'application', 'type', 'application']","['applic', 'appli', 'approv', 'transfer', 'amount', 'repay', 'applic', 'type', 'applic']","['application', 'apply', 'approve', 'transfer', 'amount', 'repay', 'application', 'type', 'application']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[0.0],neutral,['approve'],1,[],0,1,positive,"['application', 'apply', 'transfer', 'amount', 'repay', 'application', 'type', 'application']"
16,before i give u 5 star but now...i m giving 1 star...because i try to apply for loan...but everytime it's showing sold out...so i m very disappointed with this...,"['before', 'i', 'give', 'u', '5', 'star', 'but', 'now', 'i', 'm', 'giving', '1', 'star', 'because', 'i', 'try', 'to', 'apply', 'for', 'loan', 'but', 'everytime', 'it', 's', 'showing', 'sold', 'out', 'so', 'i', 'm', 'very', 'disappointed', 'with', 'this']","['star', 'star', 'apply', 'everytime', 'sold', 'disappointed']","['star', 'star', 'appli', 'everytim', 'sold', 'disappoint']","['star', 'star', 'apply', 'everytime', 'sell', 'disappoint']","[0.0, 0.0, 0.0, 0.0, 0.0, -2.0]",[-2.0],negative,[],0,['disappoint'],1,-1,negative,"['star', 'star', 'apply', 'everytime', 'sell']"
17,pathetic experience ever got my loan approved 7days ago but they didn't disbursed the amount till today i suggest not to use this app they are making everyone fool,"['pathetic', 'experience', 'ever', 'got', 'my', 'loan', 'approved', '7days', 'ago', 'but', 'they', 'didn', 't', 'disbursed', 'the', 'amount', 'till', 'today', 'i', 'suggest', 'not', 'to', 'use', 'this', 'app', 'they', 'are', 'making', 'everyone', 'fool']","['experience', 'approved', '7days', 'disbursed', 'amount', 'fool']","['experi', 'approv', '7day', 'disburs', 'amount', 'fool']","['experience', 'approve', '7days', 'disburse', 'amount', 'fool']","[0.0, 0.0, 0.0, 0.0, 0.0, -2.0]",[-2.0],negative,['approve'],1,['fool'],1,0,neutral,"['experience', '7days', 'disburse', 'amount']"
18,i am going to app..enter my no and open then go to unfortunately stopped ??? i am totally disappointed,"['i', 'am', 'going', 'to', 'app', 'enter', 'my', 'no', 'and', 'open', 'then', 'go', 'to', 'unfortunately', 'stopped', 'i', 'am', 'totally', 'disappointed']","['enter', 'open', 'stopped', 'totally', 'disappointed']","['enter', 'open', 'stop', 'total', 'disappoint']","['enter', 'open', 'stop', 'totally', 'disappoint']","[0.0, 0.0, -1.0, 0.0, -2.0]",[-3.0],negative,[],0,['disappoint'],1,-1,negative,"['enter', 'open', 'stop', 'totally']"
19,have so much of trouble with the app. sometimes due to holiday the amount is getting deducted next day and in the latest app it shows i have missed to pay the emi on time so cibil score is low. second is the app shows topup option and if i click on it says you are not eligible and customer support says that it is for selected users only. if it is for selected users then why it is showing for me. i have just 3 emi left to finish my tenure and after that i am done with moneyview. thanks,"['have', 'so', 'much', 'of', 'trouble', 'with', 'the', 'app', 'sometimes', 'due', 'to', 'holiday', 'the', 'amount', 'is', 'getting', 'deducted', 'next', 'day', 'and', 'in', 'the', 'latest', 'app', 'it', 'shows', 'i', 'have', 'missed', 'to', 'pay', 'the', 'emi', 'on', 'time', 'so', 'cibil', 'score', 'is', 'low', 'second', 'is', 'the', 'app', 'shows', 'topup', 'option', 'and', 'if', 'i', 'click', 'on', 'it', 'says', 'you', 'are', 'not', 'eligible', 'and', 'customer', 'support', 'says', 'that', 'it', 'is', 'for', 'selected', 'users', 'only', 'if', 'it', 'is', 'for', 'selected', 'users', 'then', 'why', 'it', 'is', 'showing', 'for', 'me', 'i', 'have', 'just', '3', 'emi', 'left', 'to', 'finish', 'my', 'tenure', 'and', 'after', 'that', 'i', 'am', 'done', 'with', 'moneyview', 'thanks']","['trouble', 'holiday', 'amount', 'deducted', 'missed', 'emi', 'cibil', 'score', 'topup', 'option', 'eligible', 'customer', 'support', 'selected', 'users', 'selected', 'users', 'emi', 'left', 'finish', 'tenure']","['troubl', 'holiday', 'amount', 'deduct', 'miss', 'emi', 'cibil', 'score', 'topup', 'option', 'elig', 'custom', 'support', 'select', 'user', 'select', 'user', 'emi', 'left', 'finish', 'tenur']","['trouble', 'holiday', 'amount', 'deduct', 'miss', 'emi', 'cibil', 'score', 'topup', 'option', 'eligible', 'customer', 'support', 'select', 'users', 'select', 'users', 'emi', 'leave', 'finish', 'tenure']","[-2.0, 0.0, 0.0, 0.0, -2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0]",[-3.0],negative,['support'],1,"['trouble', 'miss']",2,-1,negative,"['holiday', 'amount', 'deduct', 'emi', 'cibil', 'score', 'topup', 'option', 'eligible', 'customer', 'select', 'users', 'select', 'users', 'emi', 'leave', 'finish', 'tenure']"
20,"stashfin executives trying to fool, they are not giving moratorium, even they don't answer on mentioned mail id which is mentioned on app and nor picking calls. everyday new person will call but will not understand anything just trying to fool. these persons saying, will give rbi moratorium when you pay this amount when you pay that amount another person will call you for next amount, i have paid my march emi but they didn't give me moratorium.","['stashfin', 'executives', 'trying', 'to', 'fool', 'they', 'are', 'not', 'giving', 'moratorium', 'even', 'they', 'don', 't', 'answer', 'on', 'mentioned', 'mail', 'id', 'which', 'is', 'mentioned', 'on', 'app', 'and', 'nor', 'picking', 'calls', 'everyday', 'new', 'person', 'will', 'call', 'but', 'will', 'not', 'understand', 'anything', 'just', 'trying', 'to', 'fool', 'these', 'persons', 'saying', 'will', 'give', 'rbi', 'moratorium', 'when', 'you', 'pay', 'this', 'amount', 'when', 'you', 'pay', 'that', 'amount', 'another', 'person', 'will', 'call', 'you', 'for', 'next', 'amount', 'i', 'have', 'paid', 'my', 'march', 'emi', 'but', 'they', 'didn', 't', 'give', 'me', 'moratorium']","['executives', 'fool', 'moratorium', 'answer', 'mentioned', 'mail', 'mentioned', 'picking', 'calls', 'everyday', 'person', 'understand', 'fool', 'persons', 'rbi', 'moratorium', 'amount', 'amount', 'person', 'amount', 'paid', 'march', 'emi', 'moratorium']","['execut', 'fool', 'moratorium', 'answer', 'mention', 'mail', 'mention', 'pick', 'call', 'everyday', 'person', 'understand', 'fool', 'person', 'rbi', 'moratorium', 'amount', 'amount', 'person', 'amount', 'paid', 'march', 'emi', 'moratorium']","['executives', 'fool', 'moratorium', 'answer', 'mention', 'mail', 'mention', 'pick', 'call', 'everyday', 'person', 'understand', 'fool', 'persons', 'rbi', 'moratorium', 'amount', 'amount', 'person', 'amount', 'pay', 'march', 'emi', 'moratorium']","[0.0, -2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, 0.0]",[-5.0],negative,[],0,"['fool', 'fool']",2,-2,negative,"['executives', 'moratorium', 'answer', 'mention', 'mail', 'mention', 'pick', 'call', 'everyday', 'person', 'understand', 'persons', 'rbi', 'moratorium', 'amount', 'amount', 'person', 'amount', 'pay', 'march', 'emi', 'moratorium']"
21,"very bad back end people's,. there are login many financial companies, after that they are telling high interest, if we not taken loan, then our cibil core will down, but they are chiting to all members because after login they are starting small amount and with all charges, so my dear friends don't download this app. don't take loan from this company they charging very high interest, and all charges are very high.","['very', 'bad', 'back', 'end', 'people', 's', 'there', 'are', 'login', 'many', 'financial', 'companies', 'after', 'that', 'they', 'are', 'telling', 'high', 'interest', 'if', 'we', 'not', 'taken', 'loan', 'then', 'our', 'cibil', 'core', 'will', 'down', 'but', 'they', 'are', 'chiting', 'to', 'all', 'members', 'because', 'after', 'login', 'they', 'are', 'starting', 'small', 'amount', 'and', 'with', 'all', 'charges', 'so', 'my', 'dear', 'friends', 'don', 't', 'download', 'this', 'app', 'don', 't', 'take', 'loan', 'from', 'this', 'company', 'they', 'charging', 'very', 'high', 'interest', 'and', 'all', 'charges', 'are', 'very', 'high']","['people', 'login', 'financial', 'companies', 'telling', 'interest', 'cibil', 'core', 'chiting', 'login', 'starting', 'small', 'amount', 'charges', 'friends', 'download', 'charging', 'interest', 'charges']","['peopl', 'login', 'financi', 'compani', 'tell', 'interest', 'cibil', 'core', 'chite', 'login', 'start', 'small', 'amount', 'charg', 'friend', 'download', 'charg', 'interest', 'charg']","['people', 'login', 'financial', 'company', 'tell', 'interest', 'cibil', 'core', 'chiting', 'login', 'start', 'small', 'amount', 'charge', 'friends', 'download', 'charge', 'interest', 'charge']","[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]",[2.0],positive,[],0,[],0,0,neutral,"['people', 'login', 'financial', 'company', 'tell', 'interest', 'cibil', 'core', 'chiting', 'login', 'start', 'small', 'amount', 'charge', 'friends', 'download', 'charge', 'interest', 'charge']"
