,Sentiment,Comments,Afinn Sentiment,Bing Sentiment
40,0,I am really not happy with the service after repaying it before time I am unable to apply again.. it 7months I am trying to apply now. No sorce of communication no numbers to contact n resolve issues . Really unsatisfactory.,neutral,negative
41,0,Hello I'm very disappointed during the time of covid-19 . In between moratorium period lendingkart present 4 to 5 times ECS in my saving account and my bank deducted rupees 2950 as Ecs bouncing charged.,neutral,negative
42,0,"very very worst app. Im applied 3 times and paid 2 times timely, One time lately paid with 50% penalty, but not issued another loan in 2yers.",negative,negative
43,0,"Very high interest rate. One week loan amount inr 1000 and payback emi 1560. That is 56% a week, 224% a month.. This is unbelievable...",neutral,negative
44,0,"Please read the reviews, we give ten time times more as pocket money then this loan.",neutral,neutral
45,0,"Worst service, untrained staff and what's courtesy they don't have, management doesn't check customer's request.",positive,neutral
46,0,Disgusting app if I click on loan icon they send me credit report permission,negative,negative
47,0,Very bad services from rapid my aaplcation was not complet says family details error,negative,neutral
48,0,Because there is not settled money instantly.not as like another merchant instant setelment,neutral,positive
49,0,"I have taken loan of rupees 1500 for 15 days and repayment was Rupees 1775 , unfortunately I was unable to pay this during lockdown so these people charged overdue amount and repay amount visible in app is 2800 approx. And they are continuously sending messages that your overdue charges are waived off please pay 1775 then recently in the end of may I paid Rupees 1775 now they are again sending messages that your overdue charges are waived off please pay 1048 then please pay 1125.",negative,negative
50,0,"I applied for a loan and got 1000 rupees.The real issue is in this lockdown period they continousaly called and messaged for repayment.They offered "" you only have to pay Rs.1200 and dont need to pay extra fine"".So some how in this critical condition, I managed to pay the money.After some days I again receive messages daily three to four times that I have to pay the fine too.They are no. 1 fraud group who dont keep their promises.So beware of this app.",positive,neutral
51,0,"Fraud payment processor, they deduct payments from senders account but do not transfer to merchant. Then on enquiry, they tell sender to ask merchant to check and confirm payment received in their bank account, which obviously didn't happen already. BharatPe simply refuses of any liability toward the sender on which they rely for their transaction charges. Too bad.",negative,negative
52,0,It is a fraud but do not install it in any phone. Your money will be deducted. This company does not pay please in FSE. What will you give to this company after taking your money? Do not invest in it.,neutral,neutral
53,0,Please do not download this app because this app taking benefit of people Forcedness. Providing 1000/-rs Loan first and charging 1590/-Rs For 7 Days 1593/-Rs For 14 Days 1595/-Rs For 21 Days 1598/-Rs For 30 Days Please report this app.,positive,positive
54,0,I'm using bharat pe from last 3 month and my transaction also good but they are not providing me loan I totally regret that I'm using this app they are totally fraud kindley do not use bharat pe,negative,negative
55,0,App is good but they are can't understand we customer are faceing covid 19 situation we are in the house from last 2month across....they every day taking late fee and late fee too high,neutral,neutral
56,0,Please don't give loan to me.Worst app charging more please cancel my loan amount. I don't want from you for 1000 rs you are charging 590. Worst totally worst.,negative,neutral
57,0,Fake hai loan dekar double paise lutne ka kam hai please inke jal me na fase or charg laga lga ke loan amount double kar deti hai,neutral,neutral
58,0,Worst application my first loan approved of 1000 i repayed on time but when applied for second loan they rejected my loan. What the hack it is,negative,negative
59,0,Very bad because i will pay money on time but u will u cant pay ur loan please pay ur loan .what is this,neutral,neutral
60,0,I pay loan 2 times on time but 3rd time I am not eligible apply after 30 days wrost experience.,neutral,neutral
61,0,Don't download this app it's Froud app they harassing for repayment and call to contact list,negative,negative
62,0,Pdf copy of ebook not get by customer...no response from support team...very bad experience,positive,positive
63,0,Very time consuming app. I don't think it works also. Please don't download it.,neutral,neutral
64,0,Worst application...loan repayed will not reflect and instead of updating payment they charge more.,neutral,neutral
65,0,ERROR Dear user Please use Mi-Credit app to konw your loan details,negative,negative
66,0,ERROR Dear user Please use Mi-Credit app to konw your loan details,negative,negative
67,0,Pathetic app... Every time u apply for a loan it's says rejected,negative,negative
68,0,Dont install. Intreste is too high like 50% of loan amount,neutral,neutral
69,0,Fake App! I am disappointing from this app .It does not support me during this pendemic situation whenever must be needed. Please don't download this app. I was applying 3 to 4 times loan but every time it was rejected my application. i don't know why is they rejected my applying. i have all of the my document with good credit score but every time they rejected my loan. all of the online instant loan application currently don't provide personal loan this time its not fair. currently lots of peoples have needed the loan this time . so i hope they will support their customers to this pendemic situation.,positive,negative
70,1,"App is very good but, recently i have not received notifications for EMI MORATORIUM. I want to keep EMI MORATORIUM but not showing in app till my due date, today i shown option for EMI MORATORIUM but link shows that it is not valid for JUNE MONTH, in march i received notifications for EMI MORATORIUM, NOW my account is shown due for EMI, BUT i want to EMI MORATORIUM. There is no other way to keep EMI MORATORIUM in moneyview...???",neutral,neutral
71,0,"They charges a lot amount of interest. Higher than normal banks. I missed one EMI due to some personal reasons, ideally i will have to pay EMI return charges one time. But they are very greedy they asked my bank to pay twice in a single day, hence for single EMI i paid double charges. Only choose loan from money view if it is really very urgent.",negative,negative
72,0,"Settlement dint take place on time and they take atleast 24 hours to even settle normal payments, whereas other players do it immediately or on the same day atleast Now even after 24 hours settlement failed, now again need to wait 48 hours door settlement as they have reinitiated it, now don't know when will i receive my money Will ignore their portal from now on",neutral,negative
73,0,Last 1 Week I have been raising a complaint like OTP not receiving while instalation. No proper response and unable to resolve this issue. Due to issue I am unable to install the app in my mobile and unable to check the total amout. Very poor response.,negative,negative
74,0,"Never tend to download this application friends,, it's the perfect waste of yours data & times@The app developers must update the current version,, it's an old tale already about ""SLOWLY & STEADILY WINS THE RACE"" & not such doesn't suits this 21st century...",positive,positive
75,0,Sir my friend sent me money from account but it came in to bharat pay balance and it is not transferable in to account so what will I do bharat pay balance,positive,neutral
76,0,Worst app any day. Based on time analysis of our credit score and all they reject and never allow us to re-apply again at all.,negative,negative
77,0,Very bad service....app not working properly every month it's showing mi biggest amount this service very bad. I am not satisfied this service...,neutral,positive
78,0,I ordered Bharat pe Xtreme card last 2 month 15 days already done but still not delivery on my address very bed,neutral,neutral
79,0,Very cheap app... everytime I had pay my loan amount on time...but they charged extra amount????? Why????? rediculous app...very bad experience,neutral,negative
80,0,Mobile number already verified but still asking for it. Could not login in app,neutral,neutral
81,0,very high interest . for 1000Rs you have to pay 1598 for a month.,positive,neutral
82,0,Very Slow Money send proplem only circle show after some again and again circle,neutral,negative
83,0,Mene 299 membership bhi de di but loan is not recive bad service,neutral,neutral
84,0,"I am a merchant of India and there are about 400 to 500 shops inside my market and today we have heard that the Employee bharat pe of India has not given salary to the company of India, then we have decided from today that everybody We are also shopkeepers, we will not take payment from India and we will buy it.",neutral,neutral
85,0,"Inspite of paying my EMI in advance and seeing the transaction in app, they are showing that my EMI is not paid. Multiple emails and calls but still the same problems. Absolutely jarring experience. Not recommended.",neutral,positive
86,0,Bhartpe company chor hai apna employee ko salaruy bhi nhi di kaam kra ga so request all merchant to delete the bhartpe app in your phone company was fraud totally,neutral,neutral
87,0,Worst app don't use .We use this app regularly but we check some payment they hold and after complained they did not resolve complained and they don't take any responsibility,negative,negative
88,0,I apply for long time but no approval till now and always shows it takes 24 to 48 hours,positive,positive
89,0,Bakvas ha bharat pe app not com mony tim to tim 24hors after kam money,neutral,neutral
90,0,I am a fse of bharat pe. And trust me it's a fraud company,positive,positive
91,0,Very bad aap. In this aap so much fraud and Service is very bad,neutral,neutral
92,0,"Very high interest 1000 rs on 1500 for one month,. Haaa",positive,neutral
93,0,"A team of highly unprofessional people its been 4 months since I made the payment of my last EMI still there has been no update,no NOC and they are constantly marking me as a defaulter in Cibil for pending EMI's there was a lady who used to harass me before for my payment even when I was hospitalised. She has no responsibility of even replying to my messages now.This is the last time I am escalating this on social platform post this I will be forced to file a legal case against mental harassment",negative,negative
94,0,"Worst app ever in my opinion, and i have never seen a worst and fake app like this in my entire life. After done all the criteria they shown me you are rejected for business loan, and lastly i must be say that this app one kind of fake app in my regards and i really disappointed with this app please no one download this fake app.",negative,negative
95,0,Please do not use Bharat pay because this company was fraud for me . I suggest tanot ID and download Bharat this is very poor and can helpline number.. And other activities Please dont use bhartape.. My money waste not send Rs. 2500 . Aur mera was proof bhi ha. Brother and sister please don't use .,neutral,neutral
96,0,"It's just a waste of time , almost 7 days ++ , application is under evaluation and the representative first asked for 1 year bank statement after provided he asked again for 3 months statement of lock down and told if no transactions on lockdown time , no loan is provided. Looks very silly.",negative,negative
97,0,This people not giving moratorium for June month they are asking to pay me for may month EMI. RBI rules not following. This is only company is asking to pay EMI. if I get any trouble I'm going to complaint....,negative,negative
98,0,Worst app ever after installed it shows that to start interest account plz make 100 transaction throuh this and each transaction should be over 100 of rupees,positive,neutral
99,0,"No 1 lootera, Just Imagine for 1000only after one month recovery amount 1500 means 50% interest per month = 600% pa.",positive,positive
100,0,"Upi receive payment, not showing in my bank account , bharat pay application not check balance, lots of money problem",neutral,neutral
101,0,My 25k payment from last one month is not settled to my account I will case towards police,neutral,neutral
102,0,Isme bank option mai na to airtel payment bank aa rha hai. Na hi paytm payment bank,neutral,neutral
103,0,Very bad app without any reason they canceled my loan I suggested don't installed this app,negative,neutral
104,0,There is no option to Instant settlement money that's why I am giving 1 star,positive,neutral
105,0,My Loan Application was approved 2 days ago. I haven't recieved the amount yet.,neutral,positive
106,0,This app is a fraud. I didn't get my 500 rupee payout. They rejected my requests. They are slow . I used the app because I didn't want to give my phone number to strangers. Hugely disappointed. I came to know about it by Instagram advertising. I even brought a 108 rupee Instagram growth page . Than i logged in . They have hugely disappointed me. They are a pure fraud . I say this . Hands down. I needed money but couldn't get it out on time . The three day payout is a lie. Disappointed .,negative,negative
107,0,Very bad service no response for customers care side yesterday I have done my emi still not get any updates again in send me mail for emi don't know why ? I try to call your customers care number they are not pick my call call duriction 20 mint .,positive,neutral
108,0,Don't ever take loan from this company. If u fail to pay the due amount even for a single day than the executive named Rahul will make ur life hell by calling all your family members and also will abuse u.....,negative,negative
109,0,Loan Disbursed but amount not credited fake app don't use it.Also there is no option for help nd support I mailed also but no revert from them totally fake app,positive,neutral
110,0,I dont have got any scheme from my bharatpay merchant a/c & never ever got any type of cashback or any type of benefit.,positive,positive
111,0,They only make fool they don't give any loan to shopkeeper from last 1 year they said you will get loan in 1 month,negative,negative
112,0,"I really hate this, said you can apply the loan after repay but i paid the due now they dont provide the loan.",negative,negative
113,0,last one month this application is not open i try per day but otp dalte hi stop ho jata hai...bad experience,neutral,neutral
114,0,"Worst experience of taking loan from them, when asked extension from them, their rude customer care agents behaved very improperly",negative,negative
115,0,Please dont take from this aap...requesting you everyone. These people are really not cooperative. Their language is so pathetic.,neutral,positive
116,0,Fake app iam trying to apply for loan in 4 days it's always shows error with family details,negative,negative
117,0,FROUD APP. my loan is approved on 9 th march and 9 june 2020 yet not disbursed. wrost,neutral,positive
118,0,Scam Big Scam Transaction show on apps But not pay to ur bank account. Be careful ALL,negative,negative
119,0,At the time of apply showing 9000 min salary but time of approvel its 12000,neutral,neutral
120,0,"Unable to add bank accout,after entering details again showing to enter details again",negative,negative
121,0,"Cheat the customers they are collecting all documents from you never give single rupee also, dont submit ur documents waste company try in dhani app u will get money in 1 day in large amount, very very criminal and dangerous company pls aware of that application No: CEF-ANNEL-000-APR20-00001",negative,negative
122,0,"Successfully deleted app from my phone, I paid all EMI on time and never opted three month extension. They said you're eligible now it's not the case. I have told my every friends to remove this app from their phone.",positive,positive
123,0,"after submitting KYC, asking my youtube channel link etc. and aslo don't have advanced options like redirect into website after successful payment. moving into razorpay . goodbye",positive,positive
124,0,"Fake application i didn't received money bt they show me repayment date , how can i pay if i didn't received money???? You idiots..",neutral,negative
125,0,Bakwas application hai Castomer Care namber bhi nahi Laghta hai na hi koi castomare care nahi hai inka,positive,neutral
126,0,Take a every data and not giving loan and interest rate show high,positive,neutral
127,0,Very disappointed. Take loan from Flexiloan via lending program of Amazon . All documents and cheques were submitted to the Flexiloan team. Autodebit from my account to done. But I have call from Flexiloan team to transfer the installment as there is some issue and will be auto debited from your account from next month . But again the same issue.I am sure Flexiloan has lost my cheques. I have mailed sevral time but no reply from your team. I feel like I have been cheated.,negative,negative
128,0,I have been using this app for last one year and have availed loans many a times and also have paid all the installments on time without a single penalty. Now when I want to apply for a loan the app shows that due to some anomalies in my profile or due to my bad credit history I am not getting a loan. Have tried to reach you guys on twitter but you didn't bother to respond even.,negative,negative
129,0,I got 523 Cricket Run but till now I can't ordered any product from the app please any one tell me that is that real or not i can get anything or not whenever i fill details correct they also show me that fill all the details ... when i fill all details ... please any one tell me this app is provided me anything or not,neutral,positive
130,0,"I had uploaded the bank statements yesterday as asked for. You asked to re-submit them. The attachment was not getting uploaded today morning, saying the attachment is duplicate. Today I logged in with Net Banking for the verification, It says uploaded successfully but still asking to re-submit for the verification",positive,positive
131,0,Very worse experience. Customer do the transaction from qr code balance not coming in account thousand time had a word with customer care no action taken by anybody .. bharat pay is a pathetic app don't use it they are cheater,negative,negative
132,0,When Instamojo will start Cash on Delivery Facilitiy.? MojoExpress is showing COD is available. But Instamojo Seller Panel is not showing COD option. why are you confuse us.?,negative,negative
133,0,In this pandemic situation every one needs help and you are not giving loans just coz of this. Unsatisfactory service.,positive,negative
134,0,Wrost app my one payment is failed but they do not refund My ammount,negative,neutral
135,0,OTP NOT RECEIVING WHILE INSTALATON OF THE APP. NEED TO KNOW THE REASON,neutral,neutral
136,0,Total time vaste no apply gurneted reject your loan only document collect,negative,negative
137,0,"No proper support is being provided by the support team.... I have been reaching out once in every week and asking my queries, regarding my extra income card. They just say your problem will be sorted out. But since 3 months I didn't receive my card. Hire a strong support team who can answer the queries or train the existing team properly. I have written to your support mail many times describing my issue with the suitable screenshots, they don't even feel responsible to respond back atleast.",positive,positive
138,0,"Dear sir I sagar sarwade I taken a loan rupees 1000. my due date over but I do not pay loan this period.do not pay extend fee charges, my location come to containment Zoan. Not started any activities. because covid-19 lockdown my income fully stopped.i very depression condition.you send messages to penalty charges.i more depression situation . please provide me Moratorium facility 3 month of pay loan .I do not pay penalty charges.",negative,negative
139,0,Don't download this app friends... They will just message us as contact us and we are trying to contact her there is no response.... And also they are just asking money from you like insurance charges 1910/- and then tier 3 application final stage so 1705/- pay by customer after that there is no contact and there phones were switched off... This is fraud company don't use this,neutral,neutral
140,0,"Poor and bogus company! don't even think about taking a loan from lending kart guys! sometimes they deduct your emi before 4-5 days from the actual emi date and sometimes they deduct your emi twice! and then keep sending them mails for the refund! seriously, pathetic service! just avoid lending kart! that's it",negative,neutral
141,0,"Worst customer support team. Unable to send payment link via sms. They said that, update your kyc details. But there is no kyc update link in this app. All hindi speaking people in customer care doesnot support anymore. No email support also. Somany weeks passed. No response.",positive,positive
142,0,Totally waste service. They don't have any customer support and if you send a mail.. you will not get any reply from them... Please avoid this application. They debt any amount from your account and you can't do anything.... I got very bad experience...,negative,neutral
143,0,Settlement doesn't happen in time and for our money we have to waiting for 72 hrs. Regarding the cricket it is absolutely fake. I have 2377 runs but cannot get anything.,positive,neutral
144,0,Very very worst .no buying loan world number one fraud ...... India government pls check interest rates ........ interest rates very very high.......Rbi rules interest no....I am compliant court.....,positive,positive
145,0,"Moratorium extension was not given even though follow up is there, also an executive called me and using abusive words",negative,negative
146,0,I am un able to apply my loan its showing decline from past 3months,neutral,negative
147,0,Gave all details and says closed due to covid. Just data processing.no loans.,neutral,neutral
148,0,"I have already got the loan easily , after opting for moratorium option you have deducted total around 1500 rupees in last 3 months by saying overdue charges . I have complained through mails and calls but no action till now. Everytime executive says we will check with lender . I think this will also effect my cibil score . Now i am thinking i have done wrong by trusting shubh loans. Hope you will correct your mistake and return my deducted charges. I am feeling helpless.",negative,negative
149,0,I had uploaded bank statement through netbanking on 2 days brfore now again asking document reupload today i again uploaded the same but it showing now my application is rejected. This is 2nd time i got rejected my application. If there is a problem in your system please solve.,negative,negative
150,0,Yesterday I received a message saying that you are settleing all my balance to bank account which I have not received yet. Is it a sign of fraud then I need to look for legal action. Thanks,positive,neutral
151,0,Very irresponsive of bharatpe. My amount deducted but not settled in my bank account since last 15 days. Emailed them and i was asked for transaction id and from that date they didn't replied never. Uninstalling.,neutral,neutral
152,0,It is a fraud website. I lost my 200/- on their platform but no assurance by Instamojo team. I prefer to give negative rating at maximum. Even support team doesn't fulfilling customer's satisfaction.,neutral,positive
153,0,My oriental bank of account is not linking with this app. I have tried more than10 times. I also uses phonepe . This app doesnt generate any universal qr for my bank account,neutral,neutral
154,0,Don't use this app your data collect and no any information provide to you to load pls ignore this app,negative,negative
155,0,Wrost service. Fake comments on apps.. waisted of time.. don't share docs thy can mis use....,positive,neutral
156,0,"This is bad company no option register mobile number change ,bank account change is traf.",neutral,neutral
157,0,As long as I have applied to eliminate this fake app from system but it's not eliminated so I request you again to please eliminate it as soon as possible after so many negative response this app is still in working condition so please stop this app as soon as you can what actions are the loan company is getting now.so please cancel the license without being any intimation because once I have been cheated by them.,negative,negative
158,0,From 3months m trying to tell them if customer is having two accounts plz give 12% account and pan card link with the account which having transactions more. Still they r not solving the issue. Worst app now,positive,negative
159,0,Why should be paid from unique upi and that to 15. Its worst update taken,negative,neutral
160,0,"Not able to login into my account, otp is showing wrong even in autofilmode.",negative,negative
161,0,Worst app ...no customer support ..we can not withdraw any time ...useless app ...,neutral,neutral
162,0,"Bharatpe whatsapp support just sucks. They don't underetand our query quick enough. They are just like stupid idiot. An Idiot can also get to know what the user is seeking, but nah, the whatsapp support executives are beyond stupid idiot. Train your whatsapp support team very good or just hire the new ones. I get only three customer cares everytime( Akshit, Shilpa & Vivek). I think bharatpe has only 3 exeutives. Akshit just sucks. Moreover, they don't understand our query. Pls train them well!!",negative,negative
163,0,"*Bharatpe comes under nbfc,Nbfc companies money pooling cheyyakudadhu...(bharatpe is doing that) *T&c lo p2p lending ani mention chesaru *P2P lending ante telusa(investor personal details loan teesukunna vallaki and loan teesukunna valla personal details investor ki provide cheyyali).It is RBI rule.Bharatpe manaki valla details istunda?ivvatledu!!!! *P2P lending antene high risk.loan teeskunna vadu repay cheyyakapothe bharatpe ki sambandam ledu",negative,negative
164,0,"I invested 7000rs plus and in bharay pe balance showing 0 rs, i want to withdraw the money but i can't, y u guys made limited transaction method to activate the interest account , I'm out of money now during this lockdown period, i cannot withdraw the money from bharartpe",positive,negative
165,0,"Disappointed now, I hav been Ur customer with correct re repayments ,,, now suddenly u redused my loan amount , I really don't understand y? Not even a single late payment from my end ... Really disappointed with this way.... I was a more than a 1yr old customer",negative,negative
166,0,Amount is disburse but not credited in my account from 3 days if money is need in urgent you do like this with customer customer no is not working no replies for mail also,negative,negative
167,0,Bakwas bandalbaaz sab documents mag lete aur baad me reject bolte hai .... Ye sabse bakwas hai ...iska loan kon bhi mat lena aur process mat karana q ye log bewakhub banate hai,negative,negative
168,0,I have very bad experience with this firstly it say loan request successfully accepted then it send 1 rupees and then after some time they say sorry u can't apply for 30 days,positive,positive
169,0,"Poor customer care. Neglected. Company offers announced with Loud voice. But, delivery NILL. Message come as you ReceivEd but sometimes shows technical issues in the Bank. Beware of this App",neutral,negative
170,0,They send me a sms that they send the loan amount has been sent to your bank account.. But reality is they didn't send that amount..,neutral,neutral
171,0,I am withdraw my money on 12th june 2020... 4 days over still not received my money... Very worst service,neutral,neutral
172,0,Total froud application total waist of time froud application don't trust this application,positive,positive
173,0,Useless app doesn't open I'm installed 10 times but still not opening,negative,negative
174,0,Useless app doesn't open I'm installed 10 times but still not opening,negative,negative
175,0,"No proper support and security. once you have registered you cannot deregister your account details. Only option provided is of sign out, which is very unfair for users who wish to deregister their account.",neutral,positive
176,0,Sale after service (world ka sabse ghatiya customer care. Pahle to kabhi phone hi nahin lagta hai. Aur ek bar loan hone ke bad customer ki band kaise bajani hai inko aata he),positive,neutral
177,0,Not good app...only show you are eligible to loan but couldn't give...many time i have do more payment but they cannot give any loan from their side...i think waise app..,neutral,neutral
178,0,"Guys , Dont install this application . U will not get proper payment ,after 7-8 days later u will get money. Totally waste application",neutral,positive
179,0,Nice app but why rejected my loan amount i didn't get that.,negative,negative
180,0,Please delete my profile as soon as possible and update me,neutral,neutral
181,0,"Extremely worst and fake system, do not install and waste your time. I installed this app registered myself with submitting all documents, later i have received stashfin card also, but whenever we tried to operate or open the app and card both stop working in first click and shows that you are restricted. What the hell this is.",negative,negative
182,0,"Actually first time I got 1000 with 600 interest for 1 month and after first time I pay in time but, they rejected me second time this is completely fraud application in the play store, please answer why you should rejected me second time application.",negative,negative
183,0,Once your number get registered it cannot be unregistered again it sticks permanently and my number is falsely registered by some people and I'm unable to do anything about it.,negative,negative
184,0,"Nice instant loan app, waiting for approval ,I am taking back my 5star rating to you because you have rejected my loan application without giving any reason",positive,neutral
185,0,"Am trying to log in and am being asked pincode,its my first time using this App,kindly Advice",neutral,positive
186,0,"As per my experience, BharatPe is fraud one of my colleagues intimated me. Beware guys!",neutral,neutral
187,0,You don't have reseller section in this App. Is there any other app for reseller?,neutral,neutral
188,0,Worst app. Fraud they are lending you any money jst waste of time,neutral,neutral
189,0,This is the worst app i ever use in my whole life.,neutral,neutral
190,0,Hi I still not taken business loan please help to provide,positive,neutral
